data;idpotreiro;idsubarea;dentrofora;media;mstotal;msanoni;msoutras;tmin;tmed;tmax;umidade;velocidadevento;radiacaosolar;chuva;somatermica;def;exc;geometria;data_imagem;s2_b02;s2_b04;s2_b05;s2_b06;s2_b07;s2_b08;s2_b11;s2_b12;ndvi;evi;ndre;savi;dias_campo_imagem;mes;ano;dias_desde_ult_medicao;est_inverno;est_outono;est_primavera;est_verao
2016-08-09;1;1;0;21.8;1812.3341;1549.0702;263.2639;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.988493254,-31.323486002],[-53.988105426,-31.322856995],[-53.987515757,-31.323225446],[-53.987295387,-31.32385273],[-53.987333743,-31.324027394],[-53.988493254,-31.323486002]]]]}";2016-08-14;0.1471675675675675;0.1712851351351351;0.2173894736842105;0.3059842105263158;0.3338578947368421;0.3469702702702703;0.3299473684210526;0.2267736842105263;0.3389933482656209;0.3455853581772789;0.2296067321848371;0.2588031463459627;5;8;2016;0;True;False;False;False
2016-08-09;1;1;1;27.6;2227.899;1761.0087;466.8901;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.988493254,-31.323486002],[-53.988105426,-31.322856995],[-53.987515757,-31.323225446],[-53.987295387,-31.32385273],[-53.987333743,-31.324027394],[-53.988493254,-31.323486002]]]]}";2016-08-14;0.1471675675675675;0.1712851351351351;0.2173894736842105;0.3059842105263158;0.3338578947368421;0.3469702702702703;0.3299473684210526;0.2267736842105263;0.3389933482656209;0.3455853581772789;0.2296067321848371;0.2588031463459627;5;8;2016;0;True;False;False;False
2016-08-09;1;2;0;23.4;2126.058;1804.7567;321.3014;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987333275,-31.324028748],[-53.987294776,-31.323853426],[-53.987515267,-31.323226117],[-53.988104087,-31.322857009],[-53.987813401,-31.322398542],[-53.987299244,-31.322621542],[-53.98716273,-31.322634072],[-53.987072958,-31.322616027],[-53.987027616,-31.322653946],[-53.986944426,-31.322659018],[-53.986895597,-31.322680589],[-53.986836849,-31.322713935],[-53.986766274,-31.322803185],[-53.986756072,-31.322835948],[-53.986758352,-31.322877074],[-53.986779814,-31.322911823],[-53.986777803,-31.32293243],[-53.98674388,-31.32294072],[-53.986542079,-31.322875188],[-53.98649167,-31.322882413],[-53.986466546,-31.322902972],[-53.986368252,-31.322903934],[-53.986191646,-31.323248666],[-53.986175093,-31.323749049],[-53.985852733,-31.324073245],[-53.985820241,-31.324141811],[-53.985770623,-31.324611271],[-53.98564716,-31.324874819],[-53.987333275,-31.324028748]]]]}";2016-08-14;0.1456396226415094;0.1683532075471698;0.2151646153846154;0.3071492307692308;0.3357292307692308;0.3486641509433962;0.3208723076923077;0.2193107692307692;0.3487522042251054;0.355927564855192;0.2367731898963034;0.2659408050770733;5;8;2016;0;True;False;False;False
2016-08-09;1;2;1;30.2;2219.1897;2150.5342;68.655556;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987333275,-31.324028748],[-53.987294776,-31.323853426],[-53.987515267,-31.323226117],[-53.988104087,-31.322857009],[-53.987813401,-31.322398542],[-53.987299244,-31.322621542],[-53.98716273,-31.322634072],[-53.987072958,-31.322616027],[-53.987027616,-31.322653946],[-53.986944426,-31.322659018],[-53.986895597,-31.322680589],[-53.986836849,-31.322713935],[-53.986766274,-31.322803185],[-53.986756072,-31.322835948],[-53.986758352,-31.322877074],[-53.986779814,-31.322911823],[-53.986777803,-31.32293243],[-53.98674388,-31.32294072],[-53.986542079,-31.322875188],[-53.98649167,-31.322882413],[-53.986466546,-31.322902972],[-53.986368252,-31.322903934],[-53.986191646,-31.323248666],[-53.986175093,-31.323749049],[-53.985852733,-31.324073245],[-53.985820241,-31.324141811],[-53.985770623,-31.324611271],[-53.98564716,-31.324874819],[-53.987333275,-31.324028748]]]]}";2016-08-14;0.1456396226415094;0.1683532075471698;0.2151646153846154;0.3071492307692308;0.3357292307692308;0.3486641509433962;0.3208723076923077;0.2193107692307692;0.3487522042251054;0.355927564855192;0.2367731898963034;0.2659408050770733;5;8;2016;0;True;False;False;False
2016-08-09;1;3;1;8.4;707.2;0.0;707.2;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.985552098,-31.32323165],[-53.985897809,-31.32316033],[-53.985936029,-31.323157744],[-53.98596634,-31.323149533],[-53.985992337,-31.323118989],[-53.986068882,-31.32307259],[-53.986165345,-31.323046995],[-53.986242027,-31.322987639],[-53.986283233,-31.322950942],[-53.986366591,-31.322903319],[-53.986407963,-31.322900262],[-53.986466201,-31.322900149],[-53.986490444,-31.322880315],[-53.986542811,-31.322874913],[-53.98658549,-31.322885614],[-53.986633492,-31.3229034],[-53.986704385,-31.322926984],[-53.986743051,-31.322939835],[-53.986777531,-31.322932435],[-53.986777935,-31.322912984],[-53.986757231,-31.322875468],[-53.986753701,-31.322838711],[-53.986764602,-31.32280142],[-53.986837468,-31.322713741],[-53.986897629,-31.322679646],[-53.986944201,-31.322659625],[-53.987027866,-31.322654135],[-53.98707366,-31.32261609],[-53.98706083,-31.322586877],[-53.986866798,-31.322515941],[-53.986813822,-31.322551812],[-53.986733806,-31.322570897],[-53.98669815,-31.322500452],[-53.986656651,-31.322470594],[-53.9866125,-31.322469188],[-53.986497742,-31.322456114],[-53.986315835,-31.322557886],[-53.985504645,-31.3230042],[-53.985468745,-31.323025531],[-53.985528805,-31.323153408],[-53.985523299,-31.323204152],[-53.985552098,-31.32323165]]]]}";2016-08-14;0.1370641509433962;0.1473811320754716;0.2045833333333333;0.3242416666666666;0.3563583333333333;0.3675245283018868;0.2887083333333333;0.198175;0.4275412238915354;0.449701678923269;0.2848085228244003;0.3253653095370887;5;8;2016;0;True;False;False;False
2016-08-09;1;4;1;21.6;2200.163;1505.1138;695.04926;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987496023,-31.321884463],[-53.986497679,-31.322455273],[-53.986657739,-31.322469991],[-53.986698761,-31.322500887],[-53.986734638,-31.322570365],[-53.986813635,-31.322550657],[-53.986867306,-31.322515994],[-53.987062585,-31.322586526],[-53.987074627,-31.32261542],[-53.987164958,-31.322634849],[-53.987299036,-31.322621639],[-53.987810353,-31.322398947],[-53.987496023,-31.321884463]]]]}";2016-08-14;0.1485115384615384;0.169926923076923;0.2162428571428571;0.3116285714285714;0.3404214285714286;0.3537423076923077;0.3189142857142857;0.2198142857142857;0.3510142926392174;0.3648673202803993;0.2412333847131166;0.2693478211862306;5;8;2016;0;True;False;False;False
2016-08-09;1;4;0;28.8;4320.724;3861.8442;458.87982;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987496023,-31.321884463],[-53.986497679,-31.322455273],[-53.986657739,-31.322469991],[-53.986698761,-31.322500887],[-53.986734638,-31.322570365],[-53.986813635,-31.322550657],[-53.986867306,-31.322515994],[-53.987062585,-31.322586526],[-53.987074627,-31.32261542],[-53.987164958,-31.322634849],[-53.987299036,-31.322621639],[-53.987810353,-31.322398947],[-53.987496023,-31.321884463]]]]}";2016-08-14;0.1485115384615384;0.169926923076923;0.2162428571428571;0.3116285714285714;0.3404214285714286;0.3537423076923077;0.3189142857142857;0.2198142857142857;0.3510142926392174;0.3648673202803993;0.2412333847131166;0.2693478211862306;5;8;2016;0;True;False;False;False
2016-08-09;1;5;1;25.2;3307.7532;3059.041;248.7123;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.984887185,-31.323376591],[-53.985144251,-31.32374099],[-53.985299153,-31.324000266],[-53.98538244,-31.324173243],[-53.985424372,-31.324329255],[-53.985442408,-31.324488854],[-53.985473992,-31.324539367],[-53.985519775,-31.324572283],[-53.985535439,-31.324576944],[-53.985558757,-31.324592274],[-53.985581062,-31.324598838],[-53.985597744,-31.324637971],[-53.985612852,-31.324670138],[-53.985616364,-31.324739731],[-53.985642703,-31.324812713],[-53.98564674,-31.324874939],[-53.985770977,-31.324611337],[-53.985819746,-31.324141281],[-53.985852073,-31.324073062],[-53.986174172,-31.323749394],[-53.986191657,-31.323249443],[-53.986367718,-31.322903965],[-53.98628245,-31.322953022],[-53.986165673,-31.323046782],[-53.986069899,-31.323072372],[-53.985993036,-31.323118044],[-53.985966602,-31.323150088],[-53.985936224,-31.323159294],[-53.985897101,-31.323161226],[-53.985515303,-31.323242348],[-53.985178233,-31.323187476],[-53.984887185,-31.323376591]]]]}";2016-08-14;0.144495867768595;0.1638231404958677;0.210415625;0.318715625;0.355165625;0.3731090909090909;0.3101875;0.210603125;0.3897809410055287;0.411226111029556;0.2788116106712392;0.302747774745594;5;8;2016;0;True;False;False;False
2016-08-09;1;5;0;24.0;3002.2131;2740.5872;261.62607;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.984887185,-31.323376591],[-53.985144251,-31.32374099],[-53.985299153,-31.324000266],[-53.98538244,-31.324173243],[-53.985424372,-31.324329255],[-53.985442408,-31.324488854],[-53.985473992,-31.324539367],[-53.985519775,-31.324572283],[-53.985535439,-31.324576944],[-53.985558757,-31.324592274],[-53.985581062,-31.324598838],[-53.985597744,-31.324637971],[-53.985612852,-31.324670138],[-53.985616364,-31.324739731],[-53.985642703,-31.324812713],[-53.98564674,-31.324874939],[-53.985770977,-31.324611337],[-53.985819746,-31.324141281],[-53.985852073,-31.324073062],[-53.986174172,-31.323749394],[-53.986191657,-31.323249443],[-53.986367718,-31.322903965],[-53.98628245,-31.322953022],[-53.986165673,-31.323046782],[-53.986069899,-31.323072372],[-53.985993036,-31.323118044],[-53.985966602,-31.323150088],[-53.985936224,-31.323159294],[-53.985897101,-31.323161226],[-53.985515303,-31.323242348],[-53.985178233,-31.323187476],[-53.984887185,-31.323376591]]]]}";2016-08-14;0.144495867768595;0.1638231404958677;0.210415625;0.318715625;0.355165625;0.3731090909090909;0.3101875;0.210603125;0.3897809410055287;0.411226111029556;0.2788116106712392;0.302747774745594;5;8;2016;0;True;False;False;False
2016-08-09;1;6;1;23.4;2460.2761;2081.8535;378.4225;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987441605,-31.321783881],[-53.984856087,-31.322752724],[-53.984471753,-31.323331461],[-53.984443805,-31.323364664],[-53.984526779,-31.323440552],[-53.98462868,-31.323396358],[-53.984692987,-31.323366346],[-53.984737643,-31.323348779],[-53.984807886,-31.323318957],[-53.984883872,-31.323377753],[-53.985175715,-31.323183014],[-53.985051637,-31.323133616],[-53.984923775,-31.323094976],[-53.984868553,-31.32309142],[-53.984845099,-31.323062714],[-53.984849923,-31.323014697],[-53.984869266,-31.32296235],[-53.984886436,-31.322902634],[-53.985035893,-31.32279866],[-53.985144565,-31.322761897],[-53.985188787,-31.322741249],[-53.985270381,-31.322747288],[-53.985322432,-31.322761903],[-53.985352974,-31.32277723],[-53.985380478,-31.322824729],[-53.985410296,-31.322904548],[-53.985464869,-31.323027703],[-53.986497358,-31.322453872],[-53.987080833,-31.32211906],[-53.987494091,-31.321884375],[-53.987441605,-31.321783881]]]]}";2016-08-14;0.1429453608247422;0.1582876288659793;0.2150416666666666;0.3471833333333333;0.387675;0.3970701030927835;0.3080375;0.2081333333333333;0.4299615553827104;0.468309037582559;0.2973777754635416;0.3393860683385807;5;8;2016;0;True;False;False;False
