data;data_imagem;idpotreiro;idsubarea;dentrofora;mstotal;msanoni;msoutras;media;s2_b02;s2_b04;s2_b05;s2_b06;s2_b07;s2_b08;s2_b11;s2_b12;ndvi;evi;ndre;savi;tmin;tmed;tmax;umidade;velocidadevento;radiacaosolar;chuva;somatermica;def;exc;mes;ano;dias_desde_ult_medicao;nbr;ndmi
2016-03-30;2016-03-17;1;1;0;8243.056;8243.056;0.0;33.2;0.132404054054054;0.1588662162162162;0.2041210526315789;0.304578947368421;0.3429210526315789;0.3465432432432432;0.3191842105263158;0.2140894736842105;0.3713365935567362;0.3590639996980244;0.2586370528806537;0.2800008870931972;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.236257652398428;0.0410964465443207
2016-03-30;2016-03-17;1;1;1;7550.15;6728.1973;821.95245;42.2;0.132404054054054;0.1588662162162162;0.2041210526315789;0.304578947368421;0.3429210526315789;0.3465432432432432;0.3191842105263158;0.2140894736842105;0.3713365935567362;0.3590639996980244;0.2586370528806537;0.2800008870931972;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.236257652398428;0.0410964465443207
2016-03-30;2016-03-17;1;2;0;6280.4653;6157.2915;123.17414;31.4;0.1309637735849056;0.1559362264150943;0.199476923076923;0.2971907692307692;0.3346707692307692;0.3404407547169811;0.3211030769230769;0.2168753846153846;0.3717024264120619;0.3565084964952666;0.2610839345287492;0.2777631335264101;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2217150399585073;0.0292311361228528
2016-03-30;2016-03-17;1;2;1;6434.0723;6305.193;128.87973;38.2;0.1309637735849056;0.1559362264150943;0.199476923076923;0.2971907692307692;0.3346707692307692;0.3404407547169811;0.3211030769230769;0.2168753846153846;0.3717024264120619;0.3565084964952666;0.2610839345287492;0.2777631335264101;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2217150399585073;0.0292311361228528
2016-03-30;2016-03-17;1;3;0;1068.0;0.0;1068.0;4.0;0.1335415094339622;0.154888679245283;0.2139583333333333;0.3432166666666666;0.3835916666666666;0.3932;0.3559083333333333;0.2396;0.4348043113805437;0.4510155124626043;0.2952140435635954;0.3410655874934967;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2427307206068267;0.0497814067836205
2016-03-30;2016-03-17;1;3;1;1609.9657;0.0;1609.9657;5.0;0.1335415094339622;0.154888679245283;0.2139583333333333;0.3432166666666666;0.3835916666666666;0.3932;0.3559083333333333;0.2396;0.4348043113805437;0.4510155124626043;0.2952140435635954;0.3410655874934967;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2427307206068267;0.0497814067836205
2016-03-30;2016-03-17;1;4;0;5321.3325;5071.8716;249.46095;30.4;0.1306288461538461;0.1532365384615384;0.2001357142857142;0.3081357142857143;0.346;0.3538615384615384;0.3321571428571428;0.2208357142857142;0.3956335256038318;0.3877367768100516;0.2774848131710098;0.2988164776557168;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2314711329137463;0.0316381990686827
2016-03-30;2016-03-17;1;4;1;6808.0107;6690.5815;117.42887;44.8;0.1306288461538461;0.1532365384615384;0.2001357142857142;0.3081357142857143;0.346;0.3538615384615384;0.3321571428571428;0.2208357142857142;0.3956335256038318;0.3877367768100516;0.2774848131710098;0.2988164776557168;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2314711329137463;0.0316381990686827
2016-03-30;2016-03-17;1;5;0;7384.151;7244.362;139.78905;36.4;0.1284859504132231;0.1522561983471074;0.191840625;0.290384375;0.327434375;0.3382049586776859;0.304128125;0.206496875;0.3791304523656265;0.3608980635160574;0.276135370588595;0.2816093680379287;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2417984951297612;0.0530516558209622
2016-03-30;2016-03-17;1;5;1;8820.182;8737.92;82.262474;51.6;0.1284859504132231;0.1522561983471074;0.191840625;0.290384375;0.327434375;0.3382049586776859;0.304128125;0.206496875;0.3791304523656265;0.3608980635160574;0.276135370588595;0.2816093680379287;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2417984951297612;0.0530516558209622
2016-03-30;2016-03-17;1;6;0;4239.496;4055.0708;184.42554;33.2;0.1345577319587629;0.1591742268041237;0.2130458333333333;0.3299416666666666;0.3691208333333333;0.3724659793814433;0.3492958333333333;0.234;0.4011956772563415;0.4044738787835423;0.272274858655617;0.3101252034843922;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2283161530720483;0.0321022055197955
2016-03-30;2016-03-17;1;6;1;5737.51;5422.5273;314.9825;40.8;0.1345577319587629;0.1591742268041237;0.2130458333333333;0.3299416666666666;0.3691208333333333;0.3724659793814433;0.3492958333333333;0.234;0.4011956772563415;0.4044738787835423;0.272274858655617;0.3101252034843922;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2283161530720483;0.0321022055197955
2016-03-30;2016-03-17;2;7;0;3157.875;0.0;3157.875;19.0;0.1377745098039215;0.165054248366013;0.22205;0.3518176470588235;0.3953529411764706;0.4058130718954248;0.3564617647058823;0.23685;0.421742171927362;0.4416524249453092;0.2926801720328472;0.3372390103434575;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2629108148334976;0.0647421439353569
2016-03-30;2016-03-17;2;7;1;4363.7266;0.0;4363.7266;22.8;0.1377745098039215;0.165054248366013;0.22205;0.3518176470588235;0.3953529411764706;0.4058130718954248;0.3564617647058823;0.23685;0.421742171927362;0.4416524249453092;0.2926801720328472;0.3372390103434575;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2629108148334976;0.0647421439353569
2016-03-30;2016-03-17;2;8;0;2745.5938;0.0;2745.5938;14.6;0.1368354838709677;0.1617645161290322;0.2222375;0.3525375;0.3960625;0.4070193548387096;0.3597125;0.238525;0.431191619924797;0.4537251545956164;0.2936509207930245;0.3442064088517851;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2610112745557325;0.0616993470926823
2016-03-30;2016-03-17;2;8;1;3966.1233;0.0;3966.1233;28.2;0.1368354838709677;0.1617645161290322;0.2222375;0.3525375;0.3960625;0.4070193548387096;0.3597125;0.238525;0.431191619924797;0.4537251545956164;0.2936509207930245;0.3442064088517851;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2610112745557325;0.0616993470926823
2016-03-30;2016-03-17;2;9;0;1764.4169;17.032078;1747.3848;12.6;0.1403074324324324;0.169429054054054;0.2248894736842105;0.3397;0.38025;0.3852972972972973;0.3757578947368421;0.2516447368421052;0.3891436610454387;0.3998845975244792;0.2628831551937202;0.307001303655681;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2098347310925636;0.0125344425217813
2016-03-30;2016-03-17;2;9;1;3208.4956;101.43756;3107.058;27.6;0.1403074324324324;0.169429054054054;0.2248894736842105;0.3397;0.38025;0.3852972972972973;0.3757578947368421;0.2516447368421052;0.3891436610454387;0.3998845975244792;0.2628831551937202;0.307001303655681;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2098347310925636;0.0125344425217813
2016-03-30;2016-03-17;2;10;0;1284.0441;0.0;1284.0441;11.4;0.1369763440860215;0.1618118279569892;0.2243791666666666;0.3548041666666666;0.3980041666666666;0.4083247311827956;0.3641625;0.2425791666666666;0.4323751902487048;0.4558728550271148;0.290729305037243;0.3455347373011383;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2546390720100769;0.0571688817628435
2016-03-30;2016-03-17;2;10;1;4351.328;3394.0671;957.261;35.2;0.1369763440860215;0.1618118279569892;0.2243791666666666;0.3548041666666666;0.3980041666666666;0.4083247311827956;0.3641625;0.2425791666666666;0.4323751902487048;0.4558728550271148;0.290729305037243;0.3455347373011383;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.2546390720100769;0.0571688817628435
2016-03-30;2016-03-17;2;11;0;3022.518;1576.0176;1446.5005;11.8;0.1392582914572864;0.1651522613065326;0.2237647058823529;0.3518411764705882;0.3940980392156862;0.4010291457286432;0.3753843137254902;0.2491882352941176;0.4166100855506474;0.4376176564476478;0.2837166841338527;0.3318528388307306;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.233523302923227;0.0330298653261148
2016-03-30;2016-03-17;2;11;1;6768.238;4436.1836;2332.0547;41.8;0.1392582914572864;0.1651522613065326;0.2237647058823529;0.3518411764705882;0.3940980392156862;0.4010291457286432;0.3753843137254902;0.2491882352941176;0.4166100855506474;0.4376176564476478;0.2837166841338527;0.3318528388307306;13.8;19.7;26.8;75.9;1.0;22.7;0.2;10.3;0.15;0.0;3.0;2016.0;0.0;0.233523302923227;0.0330298653261148
