data;idpotreiro;qtd_animais;peso_origem_medio;peso_final_medio;ganho_medio;peso_origem_total;peso_final_total;dias_permanencia_medio
2017-01-30;3;31;240.2;258.7068965517241;19.5;7206.0;7502.5;44.0
2017-01-30;4;11;244.0;268.2999988902699;24.299998890269887;2684.0;2951.3;44.0
2017-03-06;1;61;281.8114754098361;308.4918032786885;26.68032786885246;17190.5;18818.0;34.0
2017-03-06;2;19;264.4736842105263;265.2631578947368;0.7894736842105263;5025.0;5040.0;34.0
2017-03-06;3;71;269.5774647887324;266.3549144906057;-3.2225502981266505;19140.0;18911.2;34.0
2017-03-06;4;32;278.359375;296.21875;17.859375;8907.5;9479.0;34.0
2017-04-18;1;12;245.5;227.58333333333334;-17.916666666666668;2946.0;2731.0;34.0
2017-04-18;2;16;279.3125;283.5625;4.25;4469.0;4537.0;34.0
2017-04-18;3;20;242.6;233.95;-8.65;4852.0;4679.0;34.0
2017-04-18;4;26;303.7307692307692;295.3076923076923;-8.423076923076923;7897.0;7678.0;34.0
2017-05-19;1;13;233.84615384615384;224.53846153846155;-9.307692307692308;3040.0;2919.0;37.0
2017-05-19;2;12;276.5;271.0833333333333;-5.416666666666667;3318.0;3253.0;37.0
2017-05-19;3;20;241.55;224.625;-16.925;4831.0;4492.5;37.0
2017-05-19;4;25;297.0;284.12;-12.88;7425.0;7103.0;37.0
2017-06-26;1;13;224.53846153846155;228.23076923076923;3.6923076923076925;2919.0;2967.0;32.0
2017-06-26;2;13;274.7692307692308;302.7692307692308;28.0;3572.0;3936.0;32.0
2017-06-26;3;20;224.625;221.775;-2.85;4492.5;4435.5;32.0
2017-06-26;4;15;288.1333333333333;302.93333333333334;14.8;4322.0;4544.0;32.0
2017-07-26;1;13;228.23076923076923;239.65384615384616;11.423076923076923;2967.0;3115.5;35.0
2017-07-26;2;13;302.7692307692308;326.7692307692308;24.0;3936.0;4248.0;35.0
2017-07-26;3;20;221.775;228.275;6.5;4435.5;4565.5;35.0
2017-07-26;4;15;302.93333333333334;327.46666666666664;24.533333333333335;4544.0;4912.0;35.0
2017-09-04;1;25;282.94;280.2;-2.74;7073.5;7005.0;29.0
2017-09-04;2;13;326.7692307692308;338.3076923076923;11.538461538461538;4248.0;4398.0;29.0
2017-09-04;3;40;287.2875;279.3378378378378;-2.0;11491.5;10335.5;29.0
2017-09-04;4;23;322.0869565217391;332.2631578947368;14.68421052631579;7408.0;6313.0;29.0
2017-10-02;1;25;287.6;297.52;9.92;7190.0;7438.0;44.0
2017-10-02;2;13;339.4166666666667;372.1666666666667;32.75;4073.0;4466.0;44.0
2017-10-02;3;57;300.9035087719298;317.8421052631579;16.93859649122807;17151.5;18117.0;44.0
2017-10-02;4;20;332.45;363.2;30.75;6649.0;7264.0;44.0
2017-11-13;1;52;331.0769230769231;334.28846153846155;3.2115384615384617;17216.0;17383.0;27.0
2017-11-13;2;27;358.3333333333333;365.77777777777777;7.444444444444445;9675.0;9876.0;27.0
2017-11-13;3;79;334.69620253164555;326.22435897435895;-8.314102564102564;26441.0;25445.5;27.0
2017-11-13;4;11;348.0;348.72727272727275;0.7272727272727273;3828.0;3836.0;27.0
2017-12-11;1;40;321.525;313.55;-7.975;12861.0;12542.0;36.0
2017-12-11;2;14;362.7142857142857;373.35714285714283;10.642857142857142;5078.0;5227.0;36.0
2017-12-11;3;53;296.58490566037733;305.2641509433962;8.679245283018869;15719.0;16179.0;36.0
2017-12-11;4;19;339.0;358.6842105263158;19.68421052631579;6441.0;6815.0;36.0
